"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Shady Side, Maryland, United States","38.82035","-76.4986","Luxe Chesapeake Bay Getaway < 20 Mi to Annapolis!","6","Entire home","4.5","https://www.airbnb.com/rooms/43496903"
"Annapolis, Maryland, United States","38.97787","-76.4859","Rooms at Garden House next to USNA & Harbor","4","Private room in townhouse","5","https://www.airbnb.com/rooms/17682331"
"Annapolis, Maryland, United States","38.976","-76.487","Red Brick Inn, Apt. #B - Downtown Annapolis","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/23630861"
"Annapolis, Maryland, United States","38.98023","-76.50185","""Jode's Retreat"" Your Home Away From Home","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/26356685"
"Upper Marlboro, Maryland, United States","38.88846","-76.80729","⭐️Two Master Bedroom Suites⭐️ centered in MD, DC, VA","4","Entire condo","5","https://www.airbnb.com/rooms/23881976"
"Elkridge, Maryland, United States","39.22457","-76.76345","Cheerful 2 basement apartment","2","Private room in home","4","https://www.airbnb.com/rooms/53212401"
"Hanover, Maryland, United States","39.1813","-76.73557","Room in Brand New Townhouse","2","Private room in townhouse","5","https://www.airbnb.com/rooms/47872489"
"Annapolis, Maryland, United States","39.01363","-76.5335","Bungalow in Epping Forest community, Annapolis, MD","3","Entire bungalow","5","https://www.airbnb.com/rooms/38155463"
"Odenton, Maryland, United States","39.07519","-76.69722","Guest House Near MARC train Airport. Navy Academy.","4","Private room in home","4","https://www.airbnb.com/rooms/1150394"
"Laurel, Maryland, United States","39.10744","-76.81982","House of Cardz - comforts of home by LLOYD SUITES","7","Entire guest suite","5","https://www.airbnb.com/rooms/28048445"
"Dunkirk, Maryland, United States","38.74219","-76.66041","Cozy Home Away From Home","2","Entire rental unit",,"https://www.airbnb.com/rooms/38329248"
"Bowie, Maryland, United States","38.89977","-76.82305","Stunning Spacious 3 Level Townhouse","6","Entire townhouse",,"https://www.airbnb.com/rooms/53174190"
"Upper Marlboro, Maryland, United States","38.82539","-76.76477","Modern, Cozy home close to DC, Baltimore,Annapolis","4","Entire townhouse",,"https://www.airbnb.com/rooms/46800601"
"Severna Park, Maryland, United States","39.06638","-76.52719","Vibrant 4- Bedroom Cape Cod with Turf Field","6","Entire home",,"https://www.airbnb.com/rooms/19328492"
"Annapolis, Maryland, United States","38.968","-76.504","Chill in Mellow Yellow with Parking!","4","Entire cottage","5","https://www.airbnb.com/rooms/52284753"
"Tracys Landing, Maryland, United States","38.75122","-76.55653","Maple Treehouse in Maryland","6","Entire home","5","https://www.airbnb.com/rooms/23841667"
"Glenn Dale, Maryland, United States","39.00213","-76.81194","Huge Private Basement Apt","4","Entire guest suite","5","https://www.airbnb.com/rooms/10964727"
"Annapolis, Maryland, United States","38.95641","-76.49344","Contemporary Eastport 2 Bedrooms","4","Private room in home","5","https://www.airbnb.com/rooms/21694512"
"Annapolis, Maryland, United States","38.97","-76.486","GREAT LOCATION ON SPA CREEK","4","Entire condo","5","https://www.airbnb.com/rooms/9364028"
"Severn, Maryland, United States","39.1162","-76.69993","Basement -2 Bedrooms; few mins to BWI & F. Meade","4","Private room in home","5","https://www.airbnb.com/rooms/46639402"
"Annapolis, Maryland, United States","38.99617","-76.56093","Check yourself in!  3-Br House near Annapolis Mall","8","Entire home","5","https://www.airbnb.com/rooms/35868131"
"Severna Park, Maryland, United States","39.06064","-76.54394","Round Bay on the Severn","2","Private room in home","5","https://www.airbnb.com/rooms/4476008"
"Bowie, Maryland, United States","38.92891","-76.72502","SemiPrivateApt/FullBath/Bed/Kitchen/LivRmUnfurn","1","Entire guest suite",,"https://www.airbnb.com/rooms/318674"
"Upper Marlboro, Maryland, United States","38.79832","-76.80169","Sport & Entertainment Presidential Suite:2000sq.ft","6","Entire guest suite","5","https://www.airbnb.com/rooms/19160900"
"Annapolis, Maryland, United States","38.93448","-76.49706","The Lobster Loft","6","Entire guest suite","5","https://www.airbnb.com/rooms/34252861"
