"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Hagerman, Idaho, United States","42.78097","-114.82966","B and T's Hideaway","16","Farm stay","5","https://www.airbnb.com/rooms/49838967"
"Hagerman, Idaho, United States","42.83676","-114.89266","Hide-a-way Cabin #11","2","Entire cabin","4.5","https://www.airbnb.com/rooms/24244332"
"Twin Falls, Idaho, United States","42.59841","-114.49139","Immaculate comfortable guest room in private home.","4","Private room in home","4.5","https://www.airbnb.com/rooms/47044767"
"Hagerman, Idaho, United States","42.83697","-114.89212","Valley View Cabin #10","2","Entire cabin","5","https://www.airbnb.com/rooms/6223517"
"Hagerman, Idaho, United States","42.76","-114.884","The Huggery Snuggery Deau: A Dream Cabin","6","Entire guesthouse","5","https://www.airbnb.com/rooms/32713672"
"Hagerman, Idaho, United States","42.83679","-114.8941","Hemingway Cabin  #8","2","Entire cabin","4.5","https://www.airbnb.com/rooms/22357548"
"Hagerman, Idaho, United States","42.81935","-114.89537","#HagermanHaus- A Modern Farmhouse Getaway!","6","Entire home","5","https://www.airbnb.com/rooms/48993084"
"Hagerman, Idaho, United States","42.81252","-114.89592","Hagerman Orchard","4","Entire home","5","https://www.airbnb.com/rooms/51211623"
"Hagerman, Idaho, United States","42.837","-114.89413","Vardis Fisher Cabin #9","4","Entire cabin","4.5","https://www.airbnb.com/rooms/31516826"
"Jerome, Idaho, United States","42.65429","-114.57797","Cozy 1000 Sq Ft Bonus Room with Private Entrance","6","Entire guest suite","5","https://www.airbnb.com/rooms/46852513"
"Hagerman, Idaho, United States","42.815","-114.932","Rustic Cabin in Hagerman","5","Entire cabin","5","https://www.airbnb.com/rooms/11951728"
"Hagerman, Idaho, United States","42.82628","-114.89433","PEACE-ful CHARM-ing Escape","8","Entire home","5","https://www.airbnb.com/rooms/9118420"
"Twin Falls, Idaho, United States","42.5573","-114.46304","Charming Cottage in Historical Downtown Twin Falls","6","Entire home","4.5","https://www.airbnb.com/rooms/45973911"
"Twin Falls, Idaho, United States","42.56367","-114.46377","Classic Bed and Breakfast | The Sleigh Room at the Fillmore Inn","2","Private room in home","5","https://www.airbnb.com/rooms/39270271"
"Jerome, Idaho, United States","42.65277","-114.58732","Cabinlike Guesthouse on Family Farm+Tesla Charger","7","Farm stay","5","https://www.airbnb.com/rooms/14219473"
"Twin Falls, Idaho, United States","42.59618","-114.48357","CONVENIENTLY LOCATED IN  TWIN FALLS 4BD 2BA 3GA","10","Entire home","5","https://www.airbnb.com/rooms/52226653"
"Hagerman, Idaho, United States","42.75435","-114.87662","The River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/9695258"
"Jerome, Idaho, United States","42.635","-114.506","Townhouse on 18th green, beautiful location,","6","Entire townhouse","5","https://www.airbnb.com/rooms/29536007"
"Hagerman, Idaho, United States","42.83766","-114.89278","Creekside Cottage #7","2","Entire cabin","4.5","https://www.airbnb.com/rooms/22357750"
"Hagerman, Idaho, United States","42.72433","-114.85104","Hagerman Hwy-30 River Access Kayak,Boating,Fishing","8","Entire home","5","https://www.airbnb.com/rooms/42643199"
"Hagerman, Idaho, United States","42.74602","-114.85147","1,000 Springs Riverhouse Waterfalls Room","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/53707405"
"Hagerman, Idaho, United States","42.81166","-114.89495","Hagerman Cottage","8","Entire home","5","https://www.airbnb.com/rooms/45787601"
"Hagerman, Idaho, United States","42.76","-114.884","The Huggery: A Dream Cabin with Boat Dock","4","Entire guesthouse","5","https://www.airbnb.com/rooms/20307336"
"Hagerman, Idaho, United States","42.81234","-114.89397","Hagerman Bungalow","8","Entire cottage","5","https://www.airbnb.com/rooms/29131102"
"Twin Falls, Idaho, United States","42.55206","-114.46127","The Scottage","4","Entire home","5","https://www.airbnb.com/rooms/36766165"
