"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Fairbanks, Alaska, United States","64.85671","-146.91029","Pleasant Valley Outdoor Cabin on Yukon Quest Trail","4","Entire cabin","5","https://www.airbnb.com/rooms/23991379"
"Tok, Alaska, United States","63.38692","-143.74588","Cathedral Creeks B&B - Private Cabin","2","Private room in nature lodge","5","https://www.airbnb.com/rooms/37252706"
"Gakona, Alaska, United States","62.3015","-145.30099","Historic Gakona Lodge Bedroom 2","3","Room in nature lodge",,"https://www.airbnb.com/rooms/34271531"
"Copper Center, Alaska, United States","61.95833","-145.30083","Bumble Bee Bungalow","2","Camper/RV","4","https://www.airbnb.com/rooms/51000989"
"Glennallen, Alaska, United States","62.10944","-145.55693","Alaska Copper River B&B Moose Room","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/2503817"
"Copper Center, Alaska, United States","61.95425","-145.30456","Private room in Copper Center","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/1033601"
"Glennallen, Alaska, United States","62.06434","-145.41183","Alaska Copper River B&B en Suite","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/2298986"
"Copper Center, Alaska, United States","61.95338","-145.30571","Wildflower Suite","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/13262686"
"Gakona, Alaska, United States","62.30136","-145.30315","Historic Gakona Lodge Bedroom 10 with Private Bath","2","Room in nature lodge","4.5","https://www.airbnb.com/rooms/33629191"
"Gakona, Alaska, United States","62.30278","-145.30275","Historic Gakona Lodge Bedroom 8","3","Room in nature lodge","3.5","https://www.airbnb.com/rooms/34279753"
"Copper Center, Alaska, United States","61.95575","-145.2964","Ladybug Suite","3","Private room","4.5","https://www.airbnb.com/rooms/20194858"
"Eagle, Alaska, United States","64.78809","-141.2007","Room #6 has two twin beds shares a bath with #5","2","Room in bed and breakfast",,"https://www.airbnb.com/rooms/38698884"
"Gakona, Alaska, United States","62.30089","-145.3023","Historic Gakona Lodge Bedroom 3","2","Room in nature lodge",,"https://www.airbnb.com/rooms/34271821"
"Gakona, Alaska, United States","62.30273","-145.30276","Historic Gakona Lodge Room 9","4","Room in nature lodge","4.5","https://www.airbnb.com/rooms/34279891"
"Glennallen, Alaska, United States","62.10816","-145.539","The Bear Den","2","Private room in bed and breakfast","4.5","https://www.airbnb.com/rooms/23187793"
"Eagle, Alaska, United States","64.78938","-141.19978","Room #4 Queen bed, Private bathroom on 2nd floor","2","Room in bed and breakfast",,"https://www.airbnb.com/rooms/38698220"
"Eagle, Alaska, United States","64.78424","-141.19431","Room #1 two twin beds, private bath, pets allowed.","2","Room in bed and breakfast",,"https://www.airbnb.com/rooms/38698292"
"Tok, Alaska, United States","63.33552","-142.98519","Cathedral Creeks B&B - Room #2","2","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/37686248"
"Copper Center, Alaska, United States","61.95457","-145.30391","Forget Me Not Suite","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/9917517"
"Gakona, Alaska, United States","62.30174","-145.30088","Historic Gakona Lodge Bedroom 5","2","Room in nature lodge","5","https://www.airbnb.com/rooms/34273165"
"Gakona, Alaska, United States","62.29136","-145.35464","Gulkana River Ranch Bed and Breakfast","6","Entire cabin","5","https://www.airbnb.com/rooms/14013751"
"Salcha, Alaska, United States","64.31254","-146.68285","Alaskan Lake Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/6561134"
"Tok, Alaska, United States","63.3371","-142.9858","Cathedral Creeks B&B - Room #3","2","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/37687219"
"Copper Center, Alaska, United States","61.956","-145.29673","“The Baton Rouge” 1941 School Bus","1","Bus","5","https://www.airbnb.com/rooms/26201533"
"Tok, Alaska, United States","63.38613","-143.74482","Cathedral Creeks B&B -  Room #1","2","Private room in nature lodge",,"https://www.airbnb.com/rooms/37686274"
