"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Sedro-Woolley, Washington, United States","48.68202","-122.27725","The Lake House on Blue Canyon","4","Entire home","5","https://www.airbnb.com/rooms/45238207"
"Lynden, Washington, United States","48.9411","-122.47838","First responder ready, 2 bedroom Woodcreek Inn","6","Entire rental unit","5","https://www.airbnb.com/rooms/42159116"
"Bellingham, Washington, United States","48.65605","-122.49525","Chuckanut Dr Private Entrance Apartment w/ hot tub","4","Entire guest suite","5","https://www.airbnb.com/rooms/34025771"
"Deming, Washington, United States","48.84255","-122.14778","River Valley Guesthouse- Ski Baker- Discount Rates","2","Entire bungalow","5","https://www.airbnb.com/rooms/6392438"
"Lynden, Washington, United States","48.94494","-122.44396","Black Walnut Farmhouse","4","Entire rental unit","5","https://www.airbnb.com/rooms/31828362"
"Lummi Island, Washington, United States","48.71018","-122.6724","Seacrest Seaside Cabin","2","Entire cabin","5","https://www.airbnb.com/rooms/13415581"
"Bellingham, Washington, United States","48.73341","-122.67298","Sweet retreat 1-bedroom house close to beach","3","Entire home","5","https://www.airbnb.com/rooms/42568446"
"Sedro-Woolley, Washington, United States","48.65307","-122.33146","Lakeside getaway","4","Entire home","5","https://www.airbnb.com/rooms/46677581"
"Blaine, Washington, United States","48.92086","-122.74356","Grand Bay Condominium in Birch Bay, WA","4","Entire condo","5","https://www.airbnb.com/rooms/26505083"
"Eastsound, Washington, United States","48.697","-122.886","Relaxing retreat with Hot Tub close to everything","4","Entire cabin","5","https://www.airbnb.com/rooms/5348310"
"Eastsound, Washington, United States","48.66911","-122.90997","Peaceful and tranquil rustic cabin on the water","2","Entire cabin","4.5","https://www.airbnb.com/rooms/34306152"
"Lynden, Washington, United States","48.94318","-122.44678","Downtown Dutch Craftsman - Walk to Downtown!","7","Entire guest suite",,"https://www.airbnb.com/rooms/53007425"
"Eastsound, Washington, United States","48.69097","-122.85123","Tranquil Orcas Island Retreat","4","Entire cabin","5","https://www.airbnb.com/rooms/3316999"
"Glacier, Washington, United States","48.89247","-121.92196","Snowline Lodge Condo #77 - Economical - Convenient - Kitchenette - Sleeps 2","2","Entire condo","4","https://www.airbnb.com/rooms/4880332"
"Eastsound, Washington, United States","48.71081","-122.92228","Blue Moon Beach Cottage","3","Entire cottage",,"https://www.airbnb.com/rooms/52838234"
"Lummi Island, Washington, United States","48.68696","-122.64567","Cozy Home with views of Mt. Baker & Bellingham Bay","4","Entire home","5","https://www.airbnb.com/rooms/54346676"
"Bellingham, Washington, United States","48.75358","-122.47811","Downtown Vintage Meets Modern","4","Entire rental unit","5","https://www.airbnb.com/rooms/25371419"
"Bellingham, Washington, United States","48.76069","-122.48118","Lrg Studio 2KING BEDs PrivateBath Deck Kitchenette","5","Private room in guest suite","5","https://www.airbnb.com/rooms/14168219"
"Eastsound, Washington, United States","48.71089","-122.92202","Robin Hood Beach Cottage","3","Entire cottage","5","https://www.airbnb.com/rooms/52734823"
"Bellingham, Washington, United States","48.76835","-122.43639","Room in a quiet neighborhood Oct 2022 -April 2023","1","Private room in townhouse",,"https://www.airbnb.com/rooms/51363087"
"Deming, Washington, United States","48.88662","-121.92351","Ski Cabin in Mt. Baker Rim","6","Entire home","4.5","https://www.airbnb.com/rooms/45260886"
"Blaine, Washington, United States","48.91526","-122.70492","Country Charm Retreat Private Suite","2","Farm stay","5","https://www.airbnb.com/rooms/896874"
"Blaine, Washington, United States","48.92171","-122.74529","Updated condo right on the water with tremendous views","4","Entire condo","4.5","https://www.airbnb.com/rooms/30424448"
"Bellingham, Washington, United States","48.7425","-122.4303","Cottage of Tranquility","4","Entire home","4.5","https://www.airbnb.com/rooms/51772090"
"Glacier, Washington, United States","48.89182","-121.92323","Snowline Cabin #86 - Rustic - Pets Ok - BBQ - Sleeps 6","6","Entire cabin","4.5","https://www.airbnb.com/rooms/4861530"
