"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"New York, United States","40.753","-73.9724","Midtown 45 New York City 1 bedroom apartment.","4","Entire condo",,"https://www.airbnb.com/rooms/51983004"
"New York, United States","40.766","-73.98","Villa Astoria Duplex (5 Rooms, 2 Baths, 2 Floors)","12","Entire home","5","https://www.airbnb.com/rooms/13218139"
"New York, United States","40.765","-73.996","Ink 48 Hotel","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/46723973"
"Brooklyn, New York, United States","40.738","-73.954","2 BR w/ Terrace @ Box House Hotel","6","Room in boutique hotel","4","https://www.airbnb.com/rooms/103311"
"New York, United States","40.80898","-73.93804","Madison Ave 4 Bedroom Triplex","12","Entire townhouse","5","https://www.airbnb.com/rooms/45203174"
"Brooklyn, New York, United States","40.6232","-73.90509","Beautiful Apartment in Brooklyn With Private Pool","2","Entire home",,"https://www.airbnb.com/rooms/50726409"
"Brooklyn, New York, United States","40.68256","-73.99169","Spacious, 3-floor 3BR 2.5BA Carriage House in BK","7","Entire townhouse","5","https://www.airbnb.com/rooms/52607337"
"New York, United States","40.81868","-73.94223","Strivers Row 5 Bedroom Triplex","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/44304828"
"New York, United States","40.75524","-73.99459","Perfect apartment in Time Square","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/41177309"
"Brooklyn, New York, United States","40.71684","-73.94053","Private duplex with 2 decks","5","Entire rental unit",,"https://www.airbnb.com/rooms/41776263"
"New York, United States","40.782","-73.98","UWS King Room with Broadway View Near Central Park","2","Room in hotel",,"https://www.airbnb.com/rooms/32681551"
"Brooklyn, New York, United States","40.69982","-73.98697","NU Hotel, Standard Queen","2","Room in hotel","4.5","https://www.airbnb.com/rooms/35149019"
"Jersey City, New Jersey, United States","40.725","-74.036","Lavishly Plush 2BR|Jersey City!High Speed Internet","5","Entire serviced apartment",,"https://www.airbnb.com/rooms/21859295"
"Brooklyn, New York, United States","40.71442","-73.94654","Skylight Room in BK Duplex in Williamsburg","1","Private room in rental unit","4.5","https://www.airbnb.com/rooms/4074248"
"New York, United States","40.71883","-73.98688","Look No More, Minutes from All the NY Fun! Easy Access to Public Transportation","2","Room in hotel",,"https://www.airbnb.com/rooms/52534513"
"Brooklyn, New York, United States","40.69785","-73.98674","NU Hotel, Accessible Queen w/ Roll In Shower","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/35149749"
"Brooklyn, New York, United States","40.70977","-73.95917","3BR in The Heart of Williamsburg","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/545586"
"Jersey City, New Jersey, United States","40.74366","-74.05952","Mi casa, su casa (My home is your home)","3","Private room in rental unit",,"https://www.airbnb.com/rooms/16236208"
"Brooklyn, New York, United States","40.68461","-73.98984","Luxe Townhome with Roof Terrace | Family Friendly","6","Entire rental unit",,"https://www.airbnb.com/rooms/355563"
"Brooklyn, New York, United States","40.69516","-73.90944","AFFORDABLE & STYLISH NYC EVENT SPACE IN BUSHWICK","16","Entire loft",,"https://www.airbnb.com/rooms/48804279"
"Staten Island, New York, United States","40.59324","-74.0608","Beach House Retreat. 15 minutes from Manhattan.","12","Entire home",,"https://www.airbnb.com/rooms/20305160"
"Queens, New York, United States","40.73858","-73.90804","LOVELY DUPLEX 6 BEDROOM STAY 🌟","10","Entire home","3.5","https://www.airbnb.com/rooms/53004917"
"New York, United States","40.72445","-74.00853","Downtown","4","Entire rental unit",,"https://www.airbnb.com/rooms/39630715"
"Queens, New York, United States","40.72","-73.85109","Three bedroom house in Forest Hills NY","6","Entire home","5","https://www.airbnb.com/rooms/13165301"
"Bayonne, New Jersey, United States","40.64923","-74.13376","New Updates! 2 Living Rooms✨Theater+🍿 Deck, Grill","16","Entire rental unit","4.5","https://www.airbnb.com/rooms/51930569"
"Queens, New York, United States","40.73158","-73.78746","Our home is your home.(Vegetarian)","8","Entire home","5","https://www.airbnb.com/rooms/4742102"
"New York, United States","40.71929","-73.98695","Dive Into Your Dream Vacation! Near Metropolitan Museum of Art, Soho Shopping","2","Room in hotel",,"https://www.airbnb.com/rooms/52565674"
"Montclair, New Jersey, United States","40.81203","-74.21661","Beautiful Downtown Montclair Victorian. NYC in :30","13","Entire home","5","https://www.airbnb.com/rooms/16973108"
"Teaneck, New Jersey, United States","40.87781","-74.01619","Big house and big yard, close to NYC bus","12","Entire home","5","https://www.airbnb.com/rooms/23806671"
"New York, United States","40.73541","-74.00438","1 Bedroom Apartment across from Sarah J. Parker","4","Entire condo",,"https://www.airbnb.com/rooms/39358131"
"New York, United States","40.7962","-73.94979","Wake up to Central Park (privet room)","1","Private room in rental unit","5","https://www.airbnb.com/rooms/19087480"
"Brooklyn, New York, United States","40.71207","-73.96503","3 bedroom loft in Williamsburg","5","Entire loft","4.5","https://www.airbnb.com/rooms/3415102"
"Brooklyn, New York, United States","40.6729","-73.99594","White Loft Photo Studio","16","Entire loft",,"https://www.airbnb.com/rooms/8127517"
"Brooklyn, New York, United States","40.66991","-73.94838","7 BR, 4 Full Bath Duplex With Washer & Dryer","16","Entire home","4.5","https://www.airbnb.com/rooms/37060607"
"New York, United States","40.78633","-73.97241","Location Top Manhattan","1","Private room in rental unit","5","https://www.airbnb.com/rooms/4632795"
"Brooklyn, New York, United States","40.65235","-73.96157","3 BRs + 2 BAs in 3rd flr of home near Prospect Prk","10","Private room in home",,"https://www.airbnb.com/rooms/53732896"
"Montclair, New Jersey, United States","40.83013","-74.20283","Hideaway in the Heart of Montclair - 25 min to NYC","10","Entire home","5","https://www.airbnb.com/rooms/43071315"
"Brooklyn, New York, United States","40.65148","-73.97351","Renovated Townhouse w/ Park Views, Office, Laundry","6","Entire townhouse",,"https://www.airbnb.com/rooms/53027985"
"New York, United States","40.782","-73.98","Artful UWS King Room - near Central Park, Museums","2","Room in hotel","4.5","https://www.airbnb.com/rooms/32681581"
"Brooklyn, New York, United States","40.689","-73.944","*3 Bed 2 BT Hideaway In BK Min Away From Barclays*","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/46179990"
"NEW YORK, New York, United States","40.755","-73.988","Studio King Bed Mobility Accessible Roll-in Shower","2","Room in hotel",,"https://www.airbnb.com/rooms/34490361"
"New York, United States","40.7516","-73.97144","1BR Midtown 45 NYC!","4","Entire rental unit",,"https://www.airbnb.com/rooms/46902714"
"New York, United States","40.767","-73.97","Upscale Designer Studio-1 block from Central Park","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/1056445"
"Brooklyn, New York, United States","40.63533","-74.01187","Sunset Park's brand new luxury apartment","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/38624089"
"New York, United States","40.72085","-73.98895","Visit The Big Apple And Enjoy The Attractions! Popular Shows And Stores Are Waiting Just Outside Your Door!","4","Room in hotel",,"https://www.airbnb.com/rooms/52534605"
"Queens, New York, United States","40.58752","-73.81549","The Locals House // Best Location, Nicest Home","11","Entire home","5","https://www.airbnb.com/rooms/18595831"
"New York, United States","40.76388","-73.95654","Nice and Spacious 3 bedroom in the Upper East Side","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/50213471"
"Brooklyn, New York, United States","40.73216","-73.95881","Deluxe Loft Suite","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/25997937"
"Brooklyn, New York, United States","40.68391","-73.9919","Cool town house","6","Entire townhouse","5","https://www.airbnb.com/rooms/19387694"
"New York, United States","40.75363","-73.97293","Beautiful Studio Midtown 45 NYC","2","Entire rental unit",,"https://www.airbnb.com/rooms/46902179"
"Staten Island, New York, United States","40.62151","-74.08483","Casa Rosado @ NYC House Pool Firepit Parking Ferry","10","Entire home","5","https://www.airbnb.com/rooms/51669628"
