"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Minden, West Virginia, United States","37.97524","-81.11598","Mamaws House","12","Entire home","4.5","https://www.airbnb.com/rooms/17188454"
"Monterville, West Virginia, United States","38.53454","-80.14837","Broadwater Lodge Sea Suite @ Elk Springs Resort","2","Private room in chalet",,"https://www.airbnb.com/rooms/43102128"
"Genoa, West Virginia, United States","38.08158","-82.48036","Outdoor Adventure Luxury Cabin Rental  ""The Genoa""","5","Entire cabin","5","https://www.airbnb.com/rooms/23779886"
"White Sulphur Springs, West Virginia, United States","37.78934","-80.30343","The Manse","10","Entire home","5","https://www.airbnb.com/rooms/20500517"
"Berkeley Springs, West Virginia, United States","39.58547","-78.26585","The Mountain House","8","Entire chalet","5","https://www.airbnb.com/rooms/25768620"
"Summers County, West Virginia, United States","37.73163","-80.85109","House on private 400 acre mountaintop farm!","8","Farm stay","5","https://www.airbnb.com/rooms/54085262"
"Terra Alta, West Virginia, United States","39.56612","-79.48186","(Back in Time) Near Deep Creek Lake (No Extra Fees","6","Entire cottage","5","https://www.airbnb.com/rooms/15973003"
"Berkeley Springs, West Virginia, United States","39.523","-78.27","Private Modern Log Cabin w/Hot Tub","8","Entire cabin","5","https://www.airbnb.com/rooms/5930296"
"Davis, West Virginia, United States","39.06641","-79.44943","Valley View Lodge - 67 Goose Lodge Road","10","Entire home","4.5","https://www.airbnb.com/rooms/8667784"
"Charles Town, West Virginia, United States","39.20775","-77.84352","Country House on the Shenandoah River","8","Entire home","5","https://www.airbnb.com/rooms/50956549"
"Dry Fork, West Virginia, United States","38.84808","-79.69094","Surround Yourself with Nature","6","Entire cabin","5","https://www.airbnb.com/rooms/48286975"
"Harpers Ferry, West Virginia, United States","39.22618","-77.80785","Dome of your dreams!","10","Dome","4.5","https://www.airbnb.com/rooms/626088"
"Pipestem, West Virginia, United States","37.55215","-80.97178","The cardinal, a secluded cabin in woodland setting","8","Entire cabin","5","https://www.airbnb.com/rooms/43649016"
"Dunmore, West Virginia, United States","38.41601","-79.99584","Whistlepunk 20 Wilderness Hideaway Ski In Ski Out Spacious 2 Br Condo","8","Entire condo",,"https://www.airbnb.com/rooms/45672153"
"Pipestem, West Virginia, United States","37.55027","-80.97334","3-storey log cabin, in private woodland setting","8","Entire cabin","5","https://www.airbnb.com/rooms/43648143"
"Marlinton, West Virginia, United States","38.21928","-80.1001","Loring Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/40633756"
"Hico, West Virginia, United States","38.133","-80.991","Iron Ring","6","Entire cabin","5","https://www.airbnb.com/rooms/18927748"
"Genoa, West Virginia, United States","38.08287","-82.48158","The ""Highlander"" Rustic Yurt","2","Entire cabin","5","https://www.airbnb.com/rooms/26107742"
"Davis, West Virginia, United States","39.06635","-79.39562","Mountain Treat - Lake Access, Dog Friendly, Hot Tub","14","Entire home","4.5","https://www.airbnb.com/rooms/8737440"
"Snowshoe, West Virginia, United States","38.44106","-79.98913","2210 Renovated slope side/view, ski in/out, slps 6","6","Entire condo","5","https://www.airbnb.com/rooms/50739242"
"Cabins, West Virginia, United States","38.90336","-79.26685","King's Entry Room at the North Fork Mountain Inn","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/47957232"
"Monterville, West Virginia, United States","38.53469","-80.14655","Broadwater Lodge Safari Suite @ Elk Springs Resort","2","Private room in chalet",,"https://www.airbnb.com/rooms/43101992"
"Cabins, West Virginia, United States","38.90313","-79.26506","North Fork Room at the North Fork Mountain Inn","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/47954911"
"Hedgesville, West Virginia, United States","39.592","-78.105","Above Sleepy Hollow","4","Entire home","4.5","https://www.airbnb.com/rooms/11205868"
"Harpers Ferry, West Virginia, United States","39.32467","-77.73233","Gayte House 
Gay Owned, Liberal Oasis","5","Entire home","5","https://www.airbnb.com/rooms/12456658"
"Berkeley Springs, West Virginia, United States","39.578","-78.27611","Into the woods","10","Entire cabin","4.5","https://www.airbnb.com/rooms/52410294"
"Hico, West Virginia, United States","38.132","-80.991","Lost Paddle","4","Entire cabin","5","https://www.airbnb.com/rooms/9937799"
"Berkeley Springs, West Virginia, United States","39.41942","-78.23139","Azure Knoll","10","Entire home","4.5","https://www.airbnb.com/rooms/23236356"
"Ireland, West Virginia, United States","38.78662","-80.51318","Horseshoe Ridge Farms at Braxton County, WV","8","Entire home","5","https://www.airbnb.com/rooms/31174685"
"Davis, West Virginia, United States","39.0861","-79.44369","A Family Place - Spacious Home, Outdoor Hot Tub, Dog Friendly, Walking Distance to National Forest Trails","14","Entire home","4.5","https://www.airbnb.com/rooms/7496629"
"Cabins, West Virginia, United States","38.9047","-79.2658","Spruce Knob Room at the North Fork Mountain Inn","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/47957527"
"Davis, West Virginia, United States","39.08509","-79.44432","By the Brook 11","8","Entire home","4.5","https://www.airbnb.com/rooms/24390882"
"Snowshoe, West Virginia, United States","38.41602","-79.99819","Powder Monkey 2, 2 Bedrooms Plus Bonus Sleeping Loft, 2 Full Baths, Ski In Ski Out ,  Gas Fireplace","7","Entire townhouse","5","https://www.airbnb.com/rooms/41661884"
"Harpers Ferry, West Virginia, United States","39.36693","-77.75909","Apartment on Peace Ridge Farm","6","Farm stay","5","https://www.airbnb.com/rooms/15035807"
"Hico, West Virginia, United States","38.132","-80.991","Valley View","6","Entire cabin","4.5","https://www.airbnb.com/rooms/3262095"
"Harpers Ferry, West Virginia, United States","39.32585","-77.7407","Historic, victorian, 4 bdrm. 3 bath","8","Entire home","5","https://www.airbnb.com/rooms/8914226"
"Tucker County, West Virginia, United States","39.085","-79.44466","Quitin` Time - Views of Timberline Mountain, Hot Tub, Dog Friendly","9","Entire home","4","https://www.airbnb.com/rooms/53496698"
"Snowshoe, West Virginia, United States","38.41578","-79.99644","Whistlepunk #24: 4 Bedroom, 3 Bath:  Ski In / Ski Out, Wood Fireplace.","11","Entire condo","5","https://www.airbnb.com/rooms/20165548"
"Great Cacapon, West Virginia, United States","39.605","-78.277","River Time Cabin","6","Entire home","5","https://www.airbnb.com/rooms/34436190"
"Flat Top, West Virginia, United States","37.58982","-81.10853","Awesome Flat Top Farmhouse - Ashwood Rentals","15","Entire home","5","https://www.airbnb.com/rooms/21078242"
"Genoa, West Virginia, United States","38.08152","-82.48064","""Radnor Hollow Lodge"" a WV Outdoor Adventure","14","Entire cabin",,"https://www.airbnb.com/rooms/23840404"
"Beckley, West Virginia, United States","37.78","-81.187","New River Gorge! Sleeps 6. Dog friendly!","6","Entire rental unit","5","https://www.airbnb.com/rooms/4152252"
"Davis, West Virginia, United States","39.03918","-79.39495","Ski Inn - Great Access to Local Hiking Trails, Dog Friendly","12","Entire home","4","https://www.airbnb.com/rooms/13312822"
"Morgantown, West Virginia, United States","39.62985","-79.95685","Scholar Hotel Morgantown - Living Suite King","4","Room in hotel",,"https://www.airbnb.com/rooms/42357768"
"Snowshoe, West Virginia, United States","38.42182","-79.99115","Camp 4 #26:3 Bedrooms + Sleeping Den, Pet Friendly Slope-Side","10","Entire townhouse","5","https://www.airbnb.com/rooms/20164915"
"Lewisburg, West Virginia, United States","37.72582","-80.52974","Straw bale Cabin on the Greenbrier River","10","Entire cabin","5","https://www.airbnb.com/rooms/35126584"
"Davis, West Virginia, United States","39.04631","-79.39116","Mountainside 86 - Lake Access, Hot Tub, Dog Friendly, Air Conditioning on Main Level","12","Entire home","4.5","https://www.airbnb.com/rooms/8716036"
"Snowshoe, West Virginia, United States","38.41413","-79.99638","Shays Landing #6:   4 Bedrooms, 4.5 Bath:  Pvt Hot Tub, Ski In / Ski Out,","9","Entire townhouse","5","https://www.airbnb.com/rooms/20166044"
"Williamson, West Virginia, United States","37.66101","-82.25396","Entire house Privately located 4 bedroom","12","Entire home","5","https://www.airbnb.com/rooms/44861034"
"Snowshoe, West Virginia, United States","38.41798","-79.99604","Whistlepunk 13 Spacious 4 Br Condo Ski In Ski Out","15","Entire condo","5","https://www.airbnb.com/rooms/45672154"
"Davis, West Virginia, United States","39.09004","-79.44216","Robin`s Perch- Hot Tub, Wood Fireplace, Gas Grill","12","Entire home","4","https://www.airbnb.com/rooms/50614646"
"Snowshoe, West Virginia, United States","38.401","-79.994","Ski in/Ski out, 1BR, Sleeps 6","6","Entire rental unit","5","https://www.airbnb.com/rooms/15576598"
"Dunmore, West Virginia, United States","38.407","-79.994","3/bd 2/bath Updated, Cozy Condo on Snowshoe MTN!","8","Entire condo","5","https://www.airbnb.com/rooms/43543617"
"Philippi, West Virginia, United States","39.21511","-80.02434","Beautiful Home with lots of outdoor space","6","Private room in home",,"https://www.airbnb.com/rooms/49189018"
"Great Cacapon, West Virginia, United States","39.562","-78.403","Seventh Heaven","6","Entire home","5","https://www.airbnb.com/rooms/11435771"
