"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Washington, Wisconsin, United States","45.37453","-86.89605","Athabold Farmhouse on Washington Island","8","Entire home","5","https://www.airbnb.com/rooms/48016853"
"Cedar River (Upper Peninsula of Michigan), Michigan, United States","45.46748","-87.31923","Log House on Michigan Beach.   Weekly only.","6","Entire home","5","https://www.airbnb.com/rooms/2206832"
"Bark River, Michigan, United States","45.63901","-87.19699","St Michael's in Cedar Dells Lakeside Resort #2","7","Entire home","5","https://www.airbnb.com/rooms/37249013"
"Washington, Wisconsin, United States","45.3964","-86.94835","Bay Farm Lake Cottage","2","Entire guesthouse","5","https://www.airbnb.com/rooms/14443055"
"Rapid River, Michigan, United States","45.86914","-86.95191","Adventure U.P - Entire home and property","10","Entire home","5","https://www.airbnb.com/rooms/21383752"
"Rapid River, Michigan, United States","45.86387","-86.96487","Lakefront cottage with MILLION DOLLAR VIEW","7","Entire cottage","5","https://www.airbnb.com/rooms/34530707"
"Gladstone, Michigan, United States","45.83886","-87.02498","Cozy large guesthouse with a view of the bay.","10","Entire cottage","5","https://www.airbnb.com/rooms/16976098"
"Bark River, Michigan, United States","45.64447","-87.18943","St. Michaels in Cedar Dells Lakeside Resort #1","6","Entire home","5","https://www.airbnb.com/rooms/23234416"
"Cornell, Michigan, United States","45.9307","-87.35643","Log Cabin facing river","6","Entire home","5","https://www.airbnb.com/rooms/13414917"
"Stephenson, Michigan, United States","45.52893","-87.27712","Magnificent log cabin with 600 feet on Lake MI.","15","Entire cabin","5","https://www.airbnb.com/rooms/17792867"
"Rapid River, Michigan, United States","45.82903","-86.90232","Rapid River Log Cabin w/Loft on 160 Scenic Acres!","8","Entire cabin",,"https://www.airbnb.com/rooms/20536527"
"Escanaba, Michigan, United States","45.71983","-87.06998","Lakefront Home with Private Yard and Sandy Beach","6","Entire home","5","https://www.airbnb.com/rooms/46172818"
"Gladstone, Michigan, United States","45.85156","-87.09261","Beautiful cottage on the River","10","Entire cottage","5","https://www.airbnb.com/rooms/37678380"
"Gladstone, Michigan, United States","45.84274","-87.0904","Cozy home on the Escanaba River","6","Entire home","5","https://www.airbnb.com/rooms/54125573"
"Gladstone, Michigan, United States","45.85205","-87.0936","Brand new home on the river, quiet, near town.","6","Entire home","5","https://www.airbnb.com/rooms/53197670"
"Gladstone, Michigan, United States","45.88128","-87.00221","Gladstone home near Little Bay de Noc","6","Entire home","5","https://www.airbnb.com/rooms/49442158"
"Escanaba, Michigan, United States","45.68566","-87.11356","Beautiful home on sandy beach of Lake Michigan","14","Entire home","5","https://www.airbnb.com/rooms/42231158"
"Rapid River, Michigan, United States","45.89558","-86.90469","Rapid River Rustic Lodge, with Plenty of space!","12","Entire cabin","5","https://www.airbnb.com/rooms/41853758"
"Rapid River, Michigan, United States","45.90396","-86.96042","Lakeside Retreat Beach Kayaking Firepit Sleeps 14","14","Entire home","5","https://www.airbnb.com/rooms/51137864"
"Washington, Wisconsin, United States","45.39683","-86.94815","Bay Farm Lake House and Cottage - Island Getaway","10","Entire home","5","https://www.airbnb.com/rooms/48644930"
"Rapid River, Michigan, United States","45.81","-86.783","Spacious Lake House for Relaxing and Outdoor Fun","16","Entire cottage","5","https://www.airbnb.com/rooms/22725713"
"Gladstone, Michigan, United States","45.802","-87.061","The High Banks at Bayview","6","Entire home","5","https://www.airbnb.com/rooms/37955724"
"Rapid River, Michigan, United States","45.86903","-86.95241","Adventure U.P - Guest bedroom","2","Private room in home","5","https://www.airbnb.com/rooms/23628158"
"Escanaba, Michigan, United States","45.74687","-87.05739","Historic Delta Hotel Apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/44458692"
"Escanaba, Michigan, United States","45.74614","-87.06724","The New Green Bay House","7","Entire rental unit","5","https://www.airbnb.com/rooms/29465554"
"Escanaba, Michigan, United States","45.74309","-87.05713","Attic Treasure","4","Private room in home","4.5","https://www.airbnb.com/rooms/45421814"
