"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"València, Comunidad Valenciana, Spain","39.47434","-0.37223","Boutique Alma Palace","10","Entire serviced apartment","3","https://www.airbnb.com/rooms/51880147"
"Middle Duntisbourne, near Cirencester, United Kingdom","51.75853","-2.02591","Flowers Barn (UKC2118)","6","Entire home",,"https://www.airbnb.com/rooms/30887232"
"South Lake Tahoe, California, United States","38.9016","-119.95925","Heavenly Pines-Hot Tub, Family Friendly,Great Yard","12","Entire home","4.5","https://www.airbnb.com/rooms/38127157"
"West Glacier, Montana, United States","48.47587","-114.01335","Glacier Mountaintop Chalet","10","Entire home","4.5","https://www.airbnb.com/rooms/23784533"
"Lindesnes, Agder, Norway","58.03848","7.20571","Amazing home in Spangereid with 6 Bedrooms","12","Entire home",,"https://www.airbnb.com/rooms/48223174"
"Puerto del Carmen, Canarias, Spain","28.9214","-13.64555","Modern villa with pool and close to amenties","6","Entire villa",,"https://www.airbnb.com/rooms/35622613"
"Rome, Lazio, Italy","41.89687","12.47401","Piazza Navona: Beautiful 4BR 4 Baths, A/C, Wi-Fi","8","Entire rental unit","5","https://www.airbnb.com/rooms/15293019"
"Dicomano, Tuscany, Italy","43.89371","11.52742","Residenza Villa Lilia","8","Entire villa",,"https://www.airbnb.com/rooms/40052280"
"Dorset, England, United Kingdom","50.60824","-1.96308","Wyvern Cottage","6","Entire home",,"https://www.airbnb.com/rooms/53542094"
"Tenby, United Kingdom","51.67184","-4.69468","Island View","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/41761334"
"Playa Blanca, Canarias, Spain","28.86686","-13.86919","Spacious family villa w/ gated pool","6","Entire villa",,"https://www.airbnb.com/rooms/35647967"
"Knodishall, United Kingdom","52.19988","1.51735","Reindeer Cottage, Sternfield","4","Entire home",,"https://www.airbnb.com/rooms/24961815"
"Lahaina, Hawaii, United States","20.93473","-156.69071","3BD SPACIOUS COTTAGE KAANAPALI 42","6","Entire bungalow","4.5","https://www.airbnb.com/rooms/867745"
"Wembury, United Kingdom","50.32892","-4.09131","Langdon Barton Cottage (15482)","6","Entire home",,"https://www.airbnb.com/rooms/29371424"
"Cranford, near Clovelly, NJ, United Kingdom","50.96817","-4.35783","Cranford House (UK10938)","11","Entire home","5","https://www.airbnb.com/rooms/37399677"
"Three Legged Cross, England, United Kingdom","50.84382","-1.86066","Oakdene Lodge (UKC2213)","7","Entire home",,"https://www.airbnb.com/rooms/48259225"
