"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Henderson, Nevada, United States","36.01689","-114.98903","Exquisite Custom Villa","8","Entire home","5","https://www.airbnb.com/rooms/41749770"
"Las Vegas, Nevada, United States","36.15517","-115.28191","Stylish and Unique Private Oasis","16","Entire home","5","https://www.airbnb.com/rooms/54244407"
"Las Vegas, Nevada, United States","36.10672","-115.17144","Weekend @ Grand Desert- 2 Br","8","Entire condo",,"https://www.airbnb.com/rooms/52261515"
"Las Vegas, Nevada, United States","36.11693","-115.16435","2Br/2BA Resort Sleeps 6- Walk to Strip! New Years","6","Room in resort","4.5","https://www.airbnb.com/rooms/17379628"
"Las Vegas, Nevada, United States","36.10743","-115.17153","Weekend in Las Vegas at Grand Desert- 1 Br Condo","4","Entire condo",,"https://www.airbnb.com/rooms/52936155"
"Las Vegas, Nevada, United States","36.107","-115.171","Vegas Strip across from City Center Studio condo","2","Entire condo",,"https://www.airbnb.com/rooms/36106782"
"Las Vegas, Nevada, United States","36.12304","-115.1847","ViVa LaS VegaS @ Desert Blue Resort -2 BR CONDO","8","Entire condo","5","https://www.airbnb.com/rooms/53015100"
"Las Vegas, Nevada, United States","36.10603","-115.1706","SHOWSTOPPER! VEGAS STRIP! ROOF-TOP POOL!- 2BR/2BA","6","Entire condo","5","https://www.airbnb.com/rooms/51601715"
"Las Vegas, Nevada, United States","36.13767","-115.10689","A Fresh Escape","6","Entire home","5","https://www.airbnb.com/rooms/52423609"
"Las Vegas, Nevada, United States","36.118","-115.162","Las Vegas 2Bdrm Condo 10 min walk to The Strip","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/30287851"
"Las Vegas, Nevada, United States","36.04109","-115.22974","Las Vegas home nearby airport, shopping and strip!","12","Entire home","4.5","https://www.airbnb.com/rooms/45364035"
"Las Vegas, Nevada, United States","36.14134","-115.15667","SAHARA Las Vegas, Alexandria Suite 1 King","3","Room in hotel",,"https://www.airbnb.com/rooms/35159029"
"North Las Vegas, Nevada, United States","36.23852","-115.14331","Unique Home! Pool & Jacuzzi 20% Nov. 11-13","6","Entire home","4.5","https://www.airbnb.com/rooms/52584106"
"Las Vegas, Nevada, United States","36.10653","-115.16857","Prime Location 1BD/1BA on Las Vegas BLVD","4","Entire condo","4.5","https://www.airbnb.com/rooms/29392182"
