"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Angel Fire, New Mexico, United States","36.29039","-105.24349","Spacious Mountain Home, 10 Mi to Angel Fire Resort","7","Entire home","5","https://www.airbnb.com/rooms/44244921"
"Angel Fire, New Mexico, United States","36.35964","-105.29637","Selah House - Great for family ski trips!","12","Entire home","5","https://www.airbnb.com/rooms/11653325"
"Angel Fire, New Mexico, United States","36.38857","-105.271","Only steps to the slopes and restaurants","11","Entire loft","5","https://www.airbnb.com/rooms/52713326"
"Angel Fire, New Mexico, United States","36.39957","-105.26888","Wheeler Peak Views; 2 miles to Bike Park! Halo Pines Cabin","13","Entire home",,"https://www.airbnb.com/rooms/34747939"
"Angel Fire, New Mexico, United States","36.38798","-105.27838","2 bedroom, two bathroom first floor condominium sleeps 7 and is approximately three blocks from the Chile Express chairlift.  ","7","Entire condo",,"https://www.airbnb.com/rooms/53670706"
"Eagle Nest, New Mexico, United States","36.55546","-105.25236","Beautiful Home with WiFi, Wood Stoves, Private Washer/Dryer, and Mountain Views!","10","Entire home","4.5","https://www.airbnb.com/rooms/48131990"
"Arroyo Seco, New Mexico, United States","36.52402","-105.55535","Percilla Lane ~ Taos Sunset Views and Night Skies","7","Entire home","5","https://www.airbnb.com/rooms/37810764"
"Taos Ski Valley, New Mexico, United States","36.59318","-105.4479","6 Taos Ski Valley Gem -Ski to slope, Creek Side!","8","Entire condo","5","https://www.airbnb.com/rooms/51623904"
"Taos, New Mexico, United States","36.40859","-105.57509","Architect's Space, Taos Plaza","6","Entire rental unit","5","https://www.airbnb.com/rooms/1007291"
"Angel Fire, New Mexico, United States","36.39061","-105.27678","3 bedroom Townhome will sleep up to 8 people, 3 blocks from the chair lift","8","Entire condo",,"https://www.airbnb.com/rooms/54079207"
"El Prado, New Mexico, United States","36.47116","-105.60558","Luxury Adobe Gem - Epic Mountain Views, Private Hot Tub, Foosball, Loft, & Piano","6","Entire home","4.5","https://www.airbnb.com/rooms/53718120"
"El Prado, New Mexico, United States","36.47329","-105.59934","Casa Tranquila just off the Taos Ski Valley Road","5","Entire home","5","https://www.airbnb.com/rooms/47161802"
"Eagle Nest, New Mexico, United States","36.5544","-105.26447","Two Braids Cabin","10","Entire cabin","4.5","https://www.airbnb.com/rooms/48007998"
"Taos, New Mexico, United States","36.41326","-105.57261","Spacious Retreat with Private Adobe Courtyard | Walk to Taos Plaza","5","Entire home","5","https://www.airbnb.com/rooms/25004783"
"Angel Fire, New Mexico, United States","36.38907","-105.27408","1 bedroom condo with a wood burning fireplace and a balcony less than two blocks from the slopes!","4","Entire condo",,"https://www.airbnb.com/rooms/53541634"
"Angel Fire, New Mexico, United States","36.38771","-105.27529","1 bedroom condo with a loft and balcony less than two blocks from the slopes!","6","Entire condo",,"https://www.airbnb.com/rooms/53541626"
"Angel Fire, New Mexico, United States","36.38979","-105.27574","1 bedroom condo with a wood burning fireplace and covered parking less than two blocks from the slopes!","4","Entire condo",,"https://www.airbnb.com/rooms/53541579"
"Angel Fire, New Mexico, United States","36.35583","-105.29475","Kokopelli Casa","8","Entire home",,"https://www.airbnb.com/rooms/16427071"
"Taos, New Mexico, United States","36.37075","-105.56939","Southwestern Retreat & Vacation Rental in Taos, NM","4","Entire home",,"https://www.airbnb.com/rooms/51982896"
"Angel Fire, New Mexico, United States","36.39049","-105.27374","2 bedroom condo with a loft that sleeps up to 8 and is less than two blocks from the slopes!","8","Entire condo",,"https://www.airbnb.com/rooms/53541666"
"Taos, New Mexico, United States","36.408","-105.579","The Vista Suite at La Posada de Taos","6","Entire rental unit","5","https://www.airbnb.com/rooms/27055188"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom #2","4","Entire condo","5","https://www.airbnb.com/rooms/11084176"
"Taos, New Mexico, United States","36.4044","-105.56321","Beautiful Adobe Home near Taos Plaza","6","Entire home","5","https://www.airbnb.com/rooms/13239922"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom Z #1","4","Entire condo",,"https://www.airbnb.com/rooms/30170767"
"El Prado, New Mexico, United States","36.47023","-105.59398","Kivas, Vigas and Views! Oh My! - Full Condo","6","Entire condo","5","https://www.airbnb.com/rooms/48623883"
"Angel Fire, New Mexico, United States","36.38852","-105.27581","2 bedroom condo with a loft and a balcony less than two blocks from the slopes!","8","Entire condo",,"https://www.airbnb.com/rooms/53541646"
"Arroyo Seco, New Mexico, United States","36.51827","-105.58663","""The Casa Carmen""","5","Entire chalet","5","https://www.airbnb.com/rooms/12309518"
"Taos Ski Valley, New Mexico, United States","36.59547","-105.47968","Warm and Inviting Condo Belmonte!","5","Entire condo","5","https://www.airbnb.com/rooms/21630620"
"Taos Ski Valley, New Mexico, United States","36.59466","-105.45547","Large, Comfortable Condo Makes Perfect Basecamp","8","Entire condo","5","https://www.airbnb.com/rooms/35163412"
"Arroyo Seco, New Mexico, United States","36.51401","-105.57871","Arroyo Seco, 3 bedroom 2 bath home, newly remodled","6","Entire home","5","https://www.airbnb.com/rooms/54067058"
