"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ovid, New York, United States","42.62735","-76.83302","Etched Inn Stone","12","Farm stay","5","https://www.airbnb.com/rooms/9569469"
"Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Indonesia","-8.67467","115.16001","*LAST MIN. PROMO* BRAND NEW 4 bd Luxurious Villa!","8","Entire villa","5","https://www.airbnb.com/rooms/50427819"
"La Quinta, California, United States","33.635","-116.27","RARE FIND-5 STAR RATED-STUNNING VIEWS-POOL-SPA 4br-100179","10","Entire home","5","https://www.airbnb.com/rooms/21553191"
"Clearwater, Florida, United States","27.97389","-82.82943","Unit 4 - Club Wyndham Clearwater Beach - 2B/2B","8","Private room in resort",,"https://www.airbnb.com/rooms/46675160"
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France","43.51236","5.40306","Castel du XIX à Aix Pce pool parc","10","Entire villa","5","https://www.airbnb.com/rooms/20064"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"Bellagio, Lombardia, Italy","45.97546","9.24827","Corte Sant'Andrea • Green Loft •","4","Entire loft","5","https://www.airbnb.com/rooms/50060635"
"'s-Hertogenbosch, NB, Netherlands","51.69028","5.30186","Mega Apartment | City Centre I Secure Parking","6","Entire rental unit","5","https://www.airbnb.com/rooms/40652125"
"Porec, Croatia","45.22626","13.61128","Aida in Poreč - Istrien - Aida in Poreč - 1 Appart","4","Entire rental unit",,"https://www.airbnb.com/rooms/33416611"
"San Francisco, California, United States","37.7693","-122.43297","Edwardian Home","7","Entire home","5","https://www.airbnb.com/rooms/43712950"
"Padstow, United Kingdom","50.539","-4.94","Primrose House","8","Entire home","5","https://www.airbnb.com/rooms/21589842"
"Scituate, Massachusetts, United States","42.20926","-70.7256","Scituate Beach House- Sandhills","12","Entire home","5","https://www.airbnb.com/rooms/23334762"
"Threshfield, near Grassington, United Kingdom","54.06764","-2.03322","Grisedale Barn (W40780)","10","Entire home","4","https://www.airbnb.com/rooms/30821585"
"Lahaina, Hawaii, United States","21.00143","-156.66184","Kapalua Bay Villa 32G2 By Aloha Vacation Villas","6","Entire rental unit",,"https://www.airbnb.com/rooms/44444378"
"Whitstable, United Kingdom","51.36169","1.02396","Pebblesea","6","Entire home",,"https://www.airbnb.com/rooms/22542574"
"Knodishall, United Kingdom","52.19988","1.51735","Reindeer Cottage, Sternfield","4","Entire home",,"https://www.airbnb.com/rooms/24961815"
"Denver, Colorado, United States","39.76742","-105.00676","Private LOHI Home, Large Backyard, Game room,Grill","12","Entire home","5","https://www.airbnb.com/rooms/52558612"
"South Lake Tahoe, California, United States","38.9547","-119.9473","Tahoe Woods at Stateline#203+ Walk to Shops+Slopes","9","Entire townhouse","5","https://www.airbnb.com/rooms/23627856"
"Seget Donji, Croatia","43.513","16.213","Amazing home in Seget Donji with 5 Bedrooms, WiFi","10","Entire home",,"https://www.airbnb.com/rooms/20112995"
"Blaenau Ffestiniog, United Kingdom","52.99914","-3.94084","The Old Quarry Hospital - HW7677 (HW7677)","15","Entire home","5","https://www.airbnb.com/rooms/30814078"
"Tyne and Wear, England, United Kingdom","54.93771","-1.42037","Horseshoe Cottage (UKC4766)","5","Entire home",,"https://www.airbnb.com/rooms/50353957"
