"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Skaneateles, New York, United States","42.94654","-76.42276","Skaneateles best village location historical home","8","Entire home",,"https://www.airbnb.com/rooms/42704180"
"Homer, New York, United States","42.75831","-76.26916","South End Skaneateles Lake Inlet Cottage","9","Entire cottage","5","https://www.airbnb.com/rooms/52503827"
"Homer, New York, United States","42.78554","-76.27525","Waterfall Cottage on Skaneateles Lake, south end","5","Entire cottage","5","https://www.airbnb.com/rooms/16414271"
"Skaneateles, New York, United States","42.84879","-76.34158","Amazing Access to Pristine Skaneateles Lake","2","Private room in cottage",,"https://www.airbnb.com/rooms/34574417"
"Cortland, New York, United States","42.51108","-76.14416","Gwen's Ski Condo at Greek Peak","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/908452"
"Syracuse, New York, United States","43.055","-76.14","Two-Bedroom Townhouse in Historic Victorian Home","4","Entire guest suite","5","https://www.airbnb.com/rooms/1254125"
"Syracuse, New York, United States","43.00256","-76.16545","Backyard Forest Family Home","6","Entire home",,"https://www.airbnb.com/rooms/54149287"
"Groton, New York, United States","42.59209","-76.36949","Dempsey Suite","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/53843128"
"Syracuse, New York, United States","43.03734","-76.11523","University Hill Gem! Walk to SU and Westcott!","8","Entire home","3.5","https://www.airbnb.com/rooms/49063649"
"Ithaca, New York, United States","42.44983","-76.42843","East Hills Lofty Perch","8","Entire home","5","https://www.airbnb.com/rooms/48887082"
"Syracuse, New York, United States","43.04833","-76.07243","Spacious 4Bdrm Very CLOSE to SYRC Univ & DownTown","8","Entire home","5","https://www.airbnb.com/rooms/37782102"
"Tully, New York, United States","42.7371","-76.04348","Labrador Mountain House Upper Floor","6","Private room in home",,"https://www.airbnb.com/rooms/38048199"
"Syracuse, New York, United States","43.04266","-76.11737","Art and Victorian Charm  - Syracuse University","6","Entire home","4.5","https://www.airbnb.com/rooms/37937782"
"Syracuse, New York, United States","43.05326","-76.13967","ArtHouse, 2 bedroom Historic District townhouse","4","Private room in townhouse",,"https://www.airbnb.com/rooms/44477972"
"Dryden, New York, United States","42.481","-76.308","Maryhill Farm - Large Private Wing of House.","8","Farm stay","5","https://www.airbnb.com/rooms/17137493"
"Ithaca, New York, United States","42.511","-76.437","Haven Woods, quiet house, minutes to Ithaca w/ AC","6","Entire home","5","https://www.airbnb.com/rooms/19271841"
"Syracuse, New York, United States","43.02227","-76.13207","The Ivy House","6","Entire home","4.5","https://www.airbnb.com/rooms/46272973"
"Syracuse, New York, United States","43.04708","-76.07814","Modern 2 BR home near Lemoyne College & Hospitals","4","Entire home","4.5","https://www.airbnb.com/rooms/50089002"
"Syracuse, New York, United States","43.02162","-76.13297","Cute Home. Walk to Syracuse U, Aspen & Dome!","6","Entire home","5","https://www.airbnb.com/rooms/38793438"
"Syracuse, New York, United States","43.055","-76.14","Skylight Room in Historic Victorian House","2","Private room in home","5","https://www.airbnb.com/rooms/412097"
"Cortland, New York, United States","42.51114","-76.14349","Dog friendly 2 bed, loft, 2 bath condo @Greek Peak","7","Entire condo","5","https://www.airbnb.com/rooms/48921557"
"Syracuse, New York, United States","43.033","-76.119","Vibrant 4 bedroom close to SU","8","Entire home","5","https://www.airbnb.com/rooms/50866753"
"Cortland, New York, United States","42.50905","-76.14397","Perfect for a quick getaway. Sleeps up to 8 ppl","8","Entire townhouse","5","https://www.airbnb.com/rooms/33415862"
"DeRuyter, New York, United States","42.80407","-75.89436","CNY Lake House on Pristine Waters","6","Entire home","5","https://www.airbnb.com/rooms/51269444"
"Syracuse, New York, United States","43.04545","-76.11728","Green garden Inn ALLEN STREET","3","Private room in home","4.5","https://www.airbnb.com/rooms/2267825"
"Cortland, New York, United States","42.54281","-76.2572","Lovely 2-Bedroom Apartment","6","Entire condo","5","https://www.airbnb.com/rooms/53258455"
"Groton, New York, United States","42.59902","-76.40128","Welthea Marsh Suite","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/54017235"
"Manlius, New York, United States","42.9693","-75.9687","DevOley Land","14","Entire home","5","https://www.airbnb.com/rooms/32663536"
"Ithaca, New York, United States","42.46111","-76.42539","The 1113 Hideaway","4","Entire guest suite","5","https://www.airbnb.com/rooms/48638610"
"Syracuse, New York, United States","43.04433","-76.11824","Walk to SU/Westcott! Victorian gem","5","Entire home","4.5","https://www.airbnb.com/rooms/37965885"
"Groton, New York, United States","42.59102","-76.36863","Hotel Groton | Marion Room | King Spa Suite","4","Room in hotel",,"https://www.airbnb.com/rooms/49249890"
"Syracuse, New York, United States","43.03692","-76.12018","Beautiful Entire Corner house Near SU","12","Entire home","4.5","https://www.airbnb.com/rooms/50199952"
"Camillus, New York, United States","43.0158","-76.24028","Syracuse, NY - Master Suite on Main/No stairs","4","Entire home","5","https://www.airbnb.com/rooms/28937934"
"Skaneateles, New York, United States","42.95427","-76.43865","Cozy Skaneateles Mackenzie House Invites You","4","Entire bungalow","5","https://www.airbnb.com/rooms/46442204"
"Syracuse, New York, United States","43.05377","-76.13416","Gorgeous 5 Bed 2.5 Baths Home in Hawley Green .","16","Entire home","5","https://www.airbnb.com/rooms/44475285"
"Cincinnatus, New York, United States","42.51116","-75.97102","Cozy chalet, at Unwine Vineyards.","6","Entire home","5","https://www.airbnb.com/rooms/51398271"
"Syracuse, New York, United States","43.04864","-76.15352","Penthouse Suite in Historic Armory Square","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/40640617"
"Cortland, New York, United States","42.51101","-76.14376","Entire Townhouse at Greek Peak, Hope Lake Lodge","9","Entire condo","5","https://www.airbnb.com/rooms/53394796"
"Solvay, New York, United States","43.06004","-76.2064","Astonishing 5 Bedroom House Near Fairgrounds","16","Entire home","5","https://www.airbnb.com/rooms/42554250"
"Marietta, New York, United States","42.88761","-76.29858","Otisco Lake couple's getaway - park like setting","3","Entire cottage","5","https://www.airbnb.com/rooms/51099072"
"Syracuse, New York, United States","43.048","-76.187","Tipp Hill Upscale single Family Home","16","Entire home","5","https://www.airbnb.com/rooms/27830199"
