"49(degrees) North, WA","Washington","5774.0","3923.0","1851.0","6.0","68.0","2325","0.3","697.5","0.4","930.0","0.3","697.5","48.3016","-117.5629","38","34","29","32","24","19","25","19.599999999999987","16.533333333333346","17.746666666666666","24.75999999999999","27.84000000000001","33.480000000000004","35.8","25.108571428571427","0"
"Afton Alps, MN","Minnesota","700.0","350.0","350.0","21.0","48.0","300","0.2","60.0","0.6","180.0","0.2","60.0","44.85","-92.79","41","45","50","36","39","35","24","29.598130841121495","31.21495327102803","33.96261682242991","36.579439252336456","38.57943925233644","44.700934579439256","41.00000000000001","36.51935914552737","1"
"Alpine Meadows, CA","California","8673.0","6385.0","2288.0","13.0","100.0","2400","0.25","600.0","0.4","960.0","0.35","840.0","39.17","-120.22","42","45","42","42","31","19","34","29.598130841121495","31.21495327102803","33.96261682242991","36.579439252336456","38.57943925233644","44.700934579439256","41.00000000000001","36.51935914552737","1"
"Alpine Mountain, PA","Pennsylvania","1150.0","600.0","500.0","3.0","21.0","120","0.17","20.4","0.55","66.0","0.28","33.6","40.08","-76.9","58","55","54","52","53","49","55","47.246153846153845","52.84615384615385","48.661538461538456","52.215384615384615","53.69230769230769","51.93846153846154","51.830769230769235","51.2043956043956","3"
"Alpine Valley, MI","Michigan","1210.0","910.0","300.0","14.0","25.0","118","0.39","46.02","0.26","30.68","0.35","41.3","44.96","-84.87","47","36","52","35","36","41","42","38.45871559633028","46.00917431192661","42.100917431192656","43.4954128440367","46.1559633027523","45.98165137614679","43.61467889908257","43.68807339449541","2"
"Alpine Valley, OH","Ohio","1500.0","1260.0","230.0","6.0","11.0","72","0.33","23.76","0.34","24.48","0.33","23.76","40.31","-83.68","58","48","51","53","42","49","50","47.246153846153845","52.84615384615385","48.661538461538456","52.215384615384615","53.69230769230769","51.93846153846154","51.830769230769235","51.2043956043956","3"
"Alpine Valley, WI","Wisconsin","nan","nan","388.0","16.0","20.0","90","0.4","36.0","0.4","36.0","0.2","18.0","42.45","-88.25","50","49","55","39","42","50","41","38.45871559633028","46.00917431192661","42.100917431192656","43.4954128440367","46.1559633027523","45.98165137614679","43.61467889908257","43.68807339449541","2"
"Alta, UT","Utah","10550.0","8530.0","2020.0","11.0","116.0","2200","0.25","550.0","0.4","880.0","0.35","770.0","40.6","-111.64","24","34","23","21","22","9","14","19.599999999999987","16.533333333333346","17.746666666666666","24.75999999999999","27.84000000000001","33.480000000000004","35.8","25.108571428571427","0"
"Alyeska, AK","Alaska","3939.0","250.0","2500.0","9.0","73.0","1500","0.11","165.0","0.52","780.0","0.37","555.0","60.97","-149.11","77","77","77","77","77","77","77","72.125","73.375","73.75","73.5","74.625","74.125","74.125","73.66071428571429","4"
"Andes Tower, MN","Minnesota","nan","nan","275.0","4.0","16.0","45","0.35","15.75","0.35","15.75","0.3","13.5","46.73","-94.69","42","40","43","31","33","27","16","29.598130841121495","31.21495327102803","33.96261682242991","36.579439252336456","38.57943925233644","44.700934579439256","41.00000000000001","36.51935914552737","1"
"Angel Fire, NM","New Mexico","10677.0","8600.0","2077.0","7.0","77.0","560","0.26","145.6","0.5","280.0","0.24","134.4","36.39","-105.29","27","39","45","37","40","32","33","29.598130841121495","31.21495327102803","33.96261682242991","36.579439252336456","38.57943925233644","44.700934579439256","41.00000000000001","36.51935914552737","1"
"Anthony Lakes, OR","Oregon","8000.0","7100.0","900.0","3.0","21.0","1100","0.2","220.0","0.38","418.0","0.42","462.0","44.97","-118.23","43","42","23","25","19","14","18","19.599999999999987","16.533333333333346","17.746666666666666","24.75999999999999","27.84000000000001","33.480000000000004","35.8","25.108571428571427","0"
"Appalachian, NC","North Carolina","4000.0","3635.0","365.0","6.0","12.0","22","0.18","3.96","0.55","12.1","0.27","5.94","41.29","-76.57","48","51","49","49","46","52","43","47.246153846153845","52.84615384615385","48.661538461538456","52.215384615384615","53.69230769230769","51.93846153846154","51.830769230769235","51.2043956043956","3"
"Apple Mountain, MI","Michigan","620.0","600.0","220.0","5.0","12.0","40","0.4","16.0","0.4","16.0","0.2","8.0","43.46","-84.1","44","52","43","41","47","49","34","38.45871559633028","46.00917431192661","42.100917431192656","43.4954128440367","46.1559633027523","45.98165137614679","43.61467889908257","43.68807339449541","2"
"Arapahoe Basin, CO","Colorado","13050.0","10780.0","2270.0","7.0","105.0","900","0.1","90.0","0.3","270.0","0.6","540.0","39.72","-104.79","41","56","56","49","54","27","38","38.45871559633028","46.00917431192661","42.100917431192656","43.4954128440367","46.1559633027523","45.98165137614679","43.61467889908257","43.68807339449541","2"
"Arctic Valley, AK","Alaska","3900.0","2500.0","1400.0","4.0","25.0","320","0.2","64.0","0.5","160.0","0.3","96.0","61.24","-149.61","77","77","77","77","77","77","77","72.125","73.375","73.75","73.5","74.625","74.125","74.125","73.66071428571429","4"
